Binomial,Common name,Order,Family,Trophic level via fishbase,NwP,N,Prop w plastic,Mean num particles per indv,Habitat,Average depth,All_forage,Prime_forage,Second_forage,Primary_aggregation,Secondary_aggregation,Commercial,Aquaculture,Recreational ,IUCN status,Vulnerability score (via fishbase from Cheug et al 2005),Oceanographic province (from Longhurst 2007),Basin,Gyre,Year of collection,Publication year,Source,Includes only macroplastic  (>5mm),Includes large microplastic (>=1mm) ,Includes microplastic,Notes
Mallotus villosus,Capelin,Osmeriformes,Osmeridae,3.2,0,350,0,0,pelagic-oceanic,362,Particulate feeder,Particulate feeder,,Schooling,,highly commercial,N,N,Not assessed,27,NWCS,North Atlantic,Newfoundland,2015-2018,2019,Liboiron et al. 2019,,Y,,beginning of longitudinal study
Acanthurus japonicus,Japan surgeonfish,Perciformes,Acanthuridae,,,,,,reef-associated,10,,,,,,None,N,N,LC,22,CHIN,North Pacific,South China Sea,May of 2018,2019,Nie et al. 2019,,Y,Y,
Acanthurus lineatus,Lined surgeonfish,Perciformes,Acanthuridae,2,,,,,reef-associated,3,Grazing,Grazing,,Schooling,Spawning,commercial,N,N,LC,24,CHIN,North Pacific,South China Sea,May of 2018,2019,Nie et al. 2019,,Y,Y,
Acanthurus pyroferus,Chocolate surgeonfish,Perciformes,Acanthuridae,2,,,,,reef-associated,3,Grazing,Grazing,,Schooling,Spawning,commercial,N,N,LC,29,CHIN,North Pacific,South China Sea,May of 2018,2019,Nie et al. 2019,,Y,Y,
Amblychaeturichthys hexanema,pinkgray goby,Perciformes,Gobiidae,3.4,,23,,3,demersal,,Benthic foraging,Benthic foraging,,,,minor commercial,N,N,Not assessed,27,CHIN,North Pacific,"Yellow Sea, China",Spring 2018,2019,Feng et al. 2019,,,Y,* fish farm and mariculture area; proportion with plastic not reported
Ammodytes personatus,Pacific sand lance,Perciformes,Ammodytidae,3.1,20,50,0.4,0.54,demersal,86,Particulate feeder,Particulate feeder,,Schooling,,highly commercial,N,N,Not assessed,26,CHIN,North Pacific,"Yellow Sea, China",Summer 2016,2019,Zhao et al. 2019,,,Y,
Ammodytes personatus,Pacific sand lance,Perciformes,Ammodytidae,3.1,27,50,0.54,1.4,demersal,86,Particulate feeder,Particulate feeder,,Schooling,,highly commercial,N,N,Not assessed,26,CHIN,North Pacific,"Yellow Sea, China",July of 2016,2019,Sun et al. 2019,,,Y,
Anchoviella commersonii,Commerson's anchovy,Clupeiformes,Engraulidae,3.1,10,30,0.33,0.4,pelagic-neritic,25,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,commercial,N,N,LC,14,CHIN,North Pacific,"Yellow Sea, China",Summer 2016,2019,Zhao et al. 2019,,,Y,
Anchoviella commersonii,Commerson's anchovy,Clupeiformes,Engraulidae,3.1,10,30,0.33,0.4,pelagic-neritic,25,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,commercial,N,N,LC,14,CHIN,North Pacific,"Yellow Sea, China",July of 2016,2019,Sun et al. 2019,,,Y,
Antigonia capros,Deepbody boarfish,Perciformes,Caproidae,4.1,3,3,1,1.88,demersal,475,Benthic foraging,Benthic foraging,,,,minor commercial,N,N,LC,57,CHIN,North Pacific,South China Sea,,2019,Zhu et al. 2019,,,Y,*reported plastic in intestines and stomach (only in a figure); number for mean # plastic is composite
