Species name,Common name,Order,Family,Diet,Trophic level via fishbase,NwP,N,Prop w plastic,average debris proportion (% mass),Type of debris,Color of debris,Average size of plastic,Size of fish,Habitat,Average depth,All_forage,Prime_forage,Second_forage,Primary_aggregation,Secondary_aggregation,Commercial,Aquaculture,Recreational ,IUCN status,Vulnerability score (via fishbase from Cheug et al 2005),Oceanographic province (from Longhurst 2007),Basin,Gyre,Year of collection,Publicaton year,Source,Notes
Galeus melastomus,Blackmouth catshark,Carcharhiniformes,Scyliorhinidae,"piscivorous, invertebrates",4.2,21,125,0.168,,,,,,demersal,675,Active predation,Active predation,,,,minor commercial,N,N,LC,57,MEDI,Mediterranean,Mediterranean Sea,NA,2017,Alomar and Deudero 2017,
Mullus surmuletus,Surmullet,Perciformes,Mullidae,"crustaceans, mollusks",3.5,114,417,0.273381295,,,,,,demersal,207,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,Y,LC,39,MEDI,Mediterranean,Mediterranean Sea,Nov 2014 - Apr 2015,2017,Alomar et al. 2017,
Polyprion americanus,Wreckfish,Perciformes,Polyprionidae,"invertebrates, piscivorous",4.1,0,14,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,demersal,200,Active predation,Active predation,,Solitary,,minor commercial,N,Y,CR,72,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Etmopterus spinax,Velvet Belly,Squaliformes,Etmopteridae,"Carnivorous (piscivorous, invertebrates)",4.1,1,16,0.0625,6.30%,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,bathydemersal,350,Active predation,Active predation,,,,minor commercial,N,N,LC,63,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Xiphias gladius,Swordfish,Perciformes,Xiphiidae,"opportunistic piscivore, invertebrates",4.5,0,1,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,pelagic-oceanic,275,Active predation,Active predation,,,,commercial,N,Y,EN,72,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Molva macrophthalma,Spanish ling,Gadiformes,Lotidae,no data,4.5,0,13,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,demersal,600,"Active predation, benthic foraging",Active predation,,,,none,N,N,LC,63,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Lepidopus caudatus,Silver scabbardfish,Perciformes,Trichiuridae,predatory,3.8,0,1,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,benthopelagic,200,Active predation,Active predation,,Schooling,,highly commercial,N,Y,DD,53,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Squalus acanthias,Picked dogfish,Squaliformes,Squalidae,omnivore,4.4,0,10,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,benthopelagic,175,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,Spawning,commercial,N,Y,LC,64,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Squalus blainville,Longnose spurdog,Squaliformes,Squalidae,carnivorous,4,1,75,0.013333333,1.30%,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,demersal,398,Active predation,Active predation,,Schooling,,commercial,N,N,DD,67,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Scyliorhinus canicula,Lesser spoted dogfish,Carcharhiniformes,Scyliorhinidae,benthic invertebrates,3.8,0,1,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,demersal,100,"Active predation, benthic foraging",Active predation,Benthic foraging,,,minor commercial,N,N,LC,62,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
